Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_381.jpg,13.01944,0,0,0,99.67059,85.58999,-0.002985926,62.90225,0.0002161302
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_432.jpg,15,0,0,0,99.67059,85.58999,-0.002127701,64.64225,0.0001637411
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_482.jpg,12.83229,0,0,0,99.67058,85.58998,-0.0008964367,67.2122,-3.663165E-06
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_532.jpg,11.00232,0,0,0,99.67057,85.58998,-0.0001218492,68.59152,-0.00016526
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_582.jpg,7.927538,0,0,0,99.67058,85.58997,0.0009612931,70.20805,-0.0004434066
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_632.jpg,5.013296,0,0,0,99.67059,85.58997,0.001628606,70.92912,-0.0006322857
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_682.jpg,1.932783,0,0,0,99.67059,85.58996,0.002543389,71.4642,-0.0008898652
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_735.jpg,-1.012558,0,0,0,99.67059,85.58995,0.003096113,71.46367,-0.001029062
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_782.jpg,-4.006429,0,0,0,99.6706,85.58995,0.00383989,70.91328,-0.001169248
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_832.jpg,-7.025702,0,0,0,99.67061,85.58996,0.004275091,70.19044,-0.001209714
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_882.jpg,-9.009197,0,0,0,99.67062,85.58997,0.004833843,68.62901,-0.001189409
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_14_933.jpg,-5.999485,0,0,0,99.67062,85.58997,0.005131888,67.79089,-0.001166268
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_078.jpg,-3.010968,0,0,0,99.67062,85.58998,0.005734058,66.16666,-0.001085656
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_132.jpg,0,0,0,0,99.67062,85.58998,0.005745195,66.16666,-0.001077961
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_182.jpg,0,0,0,0,99.67062,85.58998,0.005672034,66.16666,-0.001049145
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_232.jpg,0,0,0,0,99.67062,85.58998,0.005567698,66.16666,-0.001019381
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_283.jpg,0,0,0,0,99.67062,85.58997,0.005335318,66.16666,-0.0009601952
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_332.jpg,0,0,0,0,99.67062,85.58997,0.005134768,66.16666,-0.0009122887
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_382.jpg,0,0,0,0,99.67061,85.58997,0.004773759,66.16666,-0.0008302107
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_432.jpg,0,0,0,0,99.67061,85.58997,0.004498468,66.16666,-0.000769773
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_481.jpg,0,0.1026815,0,0,99.67054,85.58981,0.0004088171,66.16672,-0.0006721589
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_532.jpg,0,0.2496201,0,0,99.6706,85.58994,0.002875378,66.1277,-0.0005862682
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_582.jpg,0,0.4003341,0,0.01771717,99.67132,85.59156,0.04078868,66.08654,-0.0004436823
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_632.jpg,0,0.5499327,0,0.0295109,99.67249,85.59418,0.1013105,66.09173,-0.0003837368
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_682.jpg,0,0.6998007,0,0.04729328,99.67457,85.59889,0.2024819,66.2587,-0.0007330892
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_731.jpg,0,0.85011,0,0.08221443,99.67678,85.60395,0.3098253,66.35429,-0.000995041
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_782.jpg,0,1,0,0.119143,99.68136,85.61443,0.5139024,66.48975,-0.0008910553
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_832.jpg,0,1,0,0.1616583,99.68509,85.62294,0.6610741,66.56362,-0.001195843
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_882.jpg,0,1,0,0.2016551,99.6917,85.63805,0.8960284,66.49593,-0.0004989049
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_932.jpg,0,1,0,0.2562169,99.69711,85.65041,1.075875,66.41927,0.0003162188
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_15_982.jpg,0,1,0,0.2989729,99.70601,85.67067,1.307992,66.41145,-0.002386092
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_032.jpg,0,1,0,0.3423792,99.71152,85.68337,1.319877,66.29424,-0.0009584017
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_082.jpg,0,1,0,0.4019444,99.7196,85.70216,1.160477,66.27167,-0.000178929
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_131.jpg,0,1,0,0.4225506,99.72635,85.71741,1.105483,66.30546,-0.0008296221
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_182.jpg,0,1,0,0.4774281,99.73786,85.7435,1.081408,66.37238,-0.000145154
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_224.jpg,0,1,0,0.5093575,99.74642,85.7628,1.096475,66.26169,0.0007382758
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_265.jpg,0,1,0,0.555055,99.75555,85.78339,1.12717,66.2888,-0.0009900352
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_314.jpg,0,1,0,0.5941975,99.76543,85.80571,1.183094,66.22862,0.000477041
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_365.jpg,0,1,0,0.6216093,99.78077,85.8403,1.235987,66.17234,-0.001548839
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_414.jpg,0,1,0,0.6676053,99.79133,85.864,1.232548,66.15401,-0.0008291794
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_467.jpg,0,1,0,0.7011697,99.80837,85.90216,1.223438,66.18114,-0.0007586441
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_515.jpg,0,1,0,0.749552,99.82043,85.92915,1.212098,66.18886,-0.00128946
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_565.jpg,0,1,0,0.7834359,99.83951,85.97194,1.193861,66.29638,-0.002024656
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_615.jpg,0,1,0,0.8341386,99.85287,86.00203,1.194946,66.28053,-0.0002297684
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_665.jpg,0,1,0,0.8756599,99.87432,86.0503,1.219024,66.29507,-0.0007884249
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_706.jpg,0,1,0,0.9055979,99.88924,86.08387,1.228528,66.28822,-0.001070585
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_750.jpg,0,1,0,0.9381397,99.90461,86.11842,1.228471,66.32655,-0.001743273
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_798.jpg,0,1,0,0.9900352,99.9287,86.17271,1.226594,66.31683,-0.0006377282
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_848.jpg,0,1,0,1.022146,99.94536,86.21027,1.218848,66.3123,-0.0006140555
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_898.jpg,0,1,0,1.063508,99.97118,86.26857,1.214332,66.32356,-0.0007729454
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_948.jpg,0,1,0,1.091846,99.98905,86.3089,1.216591,66.32778,-0.001068952
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_16_999.jpg,0,1,0,1.144016,100.0168,86.37164,1.22092,66.31498,-0.0007784981
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_047.jpg,0,1,0,1.17296,100.036,86.41497,1.224949,66.29619,-0.0005466468
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_109.jpg,0,1,0,1.222265,100.0658,86.48208,1.227565,66.27226,-0.0008761463
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_148.jpg,0,1,0,1.256486,100.0864,86.52838,1.233298,66.24429,-0.0006898488
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_198.jpg,0,1,0,1.300687,100.1181,86.59982,1.234719,66.22199,-0.0006755985
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_255.jpg,0,1,0,1.333696,100.14,86.64896,1.238874,66.20491,-0.0007762884
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_298.jpg,0,1,0,1.380369,100.1737,86.72476,1.243442,66.18629,-0.0007970519
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_342.jpg,0,1,0,1.397908,100.1969,86.77667,1.244006,66.17838,-0.000903959
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_381.jpg,0,1,0,1.444947,100.2206,86.8298,1.247067,66.16649,-0.0008967815
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_439.jpg,0,1,0,1.49189,100.2571,86.91163,1.251902,66.15182,-0.0009127685
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_483.jpg,0,1,0,1.521974,100.2821,86.96756,1.253491,66.14712,-0.0009709997
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_538.jpg,0,1,0,1.56866,100.3205,87.05357,1.25519,66.13632,-0.0009703063
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_581.jpg,0,1,0,1.600516,100.3468,87.11239,1.259606,66.12631,-0.0009474374
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_640.jpg,0,1,0,1.630433,100.3872,87.20266,1.264104,66.11674,-0.0009979841
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_684.jpg,0,1,0,1.677382,100.4148,87.26425,1.267374,66.10945,-0.0009980655
C:\Users\wang\Documents\GitHub\RoboND-Rover-Project\record_dataset\IMG\robocam_2017_05_28_13_52_17_731.jpg,0,1,0,1.708081,100.4428,87.32695,1.269932,66.10217,-0.00101995
